service_id,date,exception_type
WKO,20090101,2
WKO,20090102,2
WKO,20090119,2
WKO,20090216,2
WKO,20090217,2
WKO,20090218,2
WKO,20090219,2
WKO,20090220,2
WKO,20090409,2
WKO,20090410,2
WKO,20090413,2
WKO,20090414,2
WKO,20090415,2
WKO,20090416,2
WKO,20090417,2
WKO,20090426,2
WKO,20090629,2
WKO,20090630,2
WKO,20090701,2
WKO,20090702,2
WKO,20090703,2
WKO,20090704,2
WKO,20090705,2
WKO,20090706,2
WKO,20090707,2
WKO,20090708,2
WKO,20090709,2
WKO,20090710,2
WKO,20090711,2
WKO,20090712,2
WKO,20090713,2
WKO,20090714,2
WKO,20090715,2
WKO,20090716,2
WKO,20090717,2
WKO,20090718,2
WKO,20090719,2
WKO,20090720,2
WKO,20090721,2
WKO,20090722,2
WKO,20090723,2
WKO,20090724,2
WKO,20090725,2
WKO,20090726,2
WKO,20090727,2
WKO,20090728,2
WKO,20090729,2
WKO,20090730,2
WKO,20090731,2
WKO,20090801,2
WKO,20090802,2
WKO,20090803,2
WKO,20090804,2
WKO,20090805,2
WKO,20090806,2
WKO,20090807,2
WKO,20090808,2
WKO,20090809,2
WKO,20090810,2
WKO,20090811,2
WKO,20090812,2
WKO,20090813,2
WKO,20090814,2
WKO,20090815,2
WKO,20090816,2
WKO,20090817,2
WKO,20090818,2
WKO,20090819,2
WKO,20090820,2
WKO,20090821,2
WKO,20090822,2
WKO,20090823,2
WKO,20090824,2
WKO,20090825,2
WKO,20090826,2
WKO,20090827,2
WKO,20090828,2
WKO,20090829,2
WKO,20090830,2
WKO,20090831,2
WKO,20090901,2
WKO,20090902,2
WKO,20090903,2
WKO,20090904,2
WKO,20090905,2
WKO,20090906,2
WKO,20090907,2
WKO,20090928,2
WKO,20091012,2
WKO,20091103,2
WKO,20091111,2
WKO,20091126,2
WKO,20091127,2
WKO,20091224,2
WKO,20091225,2
WKO,20091228,2
WKO,20091229,2
WKO,20091230,2
WKO,20091231,2
WKO,20100101,2
WKO,20100118,2
WKO,20100215,2
WKO,20100216,2
WKO,20100217,2
WKO,20100218,2
WKO,20100219,2
WKO,20100329,2
WKO,20100330,2
WKO,20100331,2
WKO,20100401,2
WKO,20100402,2
WKO,20100405,2
WKO,20100406,2
WKO,20100531,2
WKC,20090101,1
WKC,20090102,1
WKC,20090119,1
WKC,20090216,1
WKC,20090217,1
WKC,20090218,1
WKC,20090219,1
WKC,20090220,1
WKC,20090409,1
WKC,20090410,1
WKC,20090413,1
WKC,20090414,1
WKC,20090415,1
WKC,20090416,1
WKC,20090417,1
WKC,20090426,1
WKC,20090629,1
WKC,20090630,1
WKC,20090701,1
WKC,20090702,1
WKC,20090705,1
WKC,20090706,1
WKC,20090707,1
WKC,20090708,1
WKC,20090709,1
WKC,20090712,1
WKC,20090713,1
WKC,20090714,1
WKC,20090715,1
WKC,20090716,1
WKC,20090719,1
WKC,20090720,1
WKC,20090721,1
WKC,20090722,1
WKC,20090723,1
WKC,20090726,1
WKC,20090727,1
WKC,20090728,1
WKC,20090729,1
WKC,20090730,1
WKC,20090802,1
WKC,20090803,1
WKC,20090804,1
WKC,20090805,1
WKC,20090806,1
WKC,20090809,1
WKC,20090810,1
WKC,20090811,1
WKC,20090812,1
WKC,20090813,1
WKC,20090816,1
WKC,20090817,1
WKC,20090818,1
WKC,20090819,1
WKC,20090820,1
WKC,20090823,1
WKC,20090824,1
WKC,20090825,1
WKC,20090826,1
WKC,20090827,1
WKC,20090830,1
WKC,20090831,1
WKC,20090901,1
WKC,20090902,1
WKC,20090903,1
WKC,20090906,1
WKC,20090907,1
WKC,20090928,1
WKC,20091012,1
WKC,20091103,1
WKC,20091111,1
WKC,20091126,1
WKC,20091127,1
WKC,20091228,1
WKC,20091229,1
WKC,20091230,1
WKC,20100118,1
WKC,20100215,1
WKC,20100216,1
WKC,20100217,1
WKC,20100218,1
WKC,20100219,1
WKC,20100329,1
WKC,20100330,1
WKC,20100331,1
WKC,20100401,1
WKC,20100402,1
WKC,20100405,1
WKC,20100406,1
WKC,20100531,1
WKO,20100215,2
WKC,20100215,2
SAT,20100215,1
WKO,20090703,2
WKC,20090703,2
SUN,20090703,1
WKO,20090907,2
WKC,20090907,2
SUN,20090907,1
WKO,20091126,2
WKC,20091126,2
SUN,20091126,1
XME,20091224,1
XME,20101224,1
XMD,20091225,1
XMD,20101225,1
NYE,20091231,1
NYE,20101231,1
NYD,20090101,1
NYD,20100101,1
