entrance_id,entrance_name,entrance_lon,entrance_lat,entrance_type
1,Broadway & 242nd St At Nw Corner,40.8898073564,-73.8984308072,0
2,Broadway & 242nd St At Nw Corner,40.8901750037,-73.8982711075,0
3,Grand Concourse & 188th St At Sw Corner,40.8614296393,-73.898054783,0
4,Broadway & 242nd St At Ne Corner,40.8897026342,-73.89794994,0
5,Grand Concourse & 188th St At Nw Corner,40.8615942412,-73.8979641503,0
6,Broadway & 242nd St At Ne Corner,40.8899906979,-73.8978048273,0
7,Jerome Ave & Kingsbridge Rd At Nw Corner,40.8676348987,-73.8974848605,0
8,Grand Concourse & 188th St At Se Corner,40.8611656102,-73.8974478352,0
9,201 East 188 Street,40.8613631673,-73.8973788416,0
10,Jerome Ave & Kingsbridge Rd At Ne Corner,40.8675989604,-73.8971956724,0
11,Jerome Ave & Kingsbridge Rd At Ne Corner,40.867749796,-73.8970580482,0
12,Grand Concourse & Fordham Rd At Se Corner,40.8623151612,-73.8969110045,0
13,Grand Concourse & Fordham Rd At Ne Corner,40.8626827209,-73.8966537501,0
14,Grand Concourse & Kingsbridge Rd At Nw Corner,40.8663834009,-73.8945329444,0
15,Grand Concourse & Kingsbridge Rd At Ne Corner,40.8661993211,-73.8943307701,0
16,Grand Concourse & Kingsbridge Rd At Ne Corner,40.8661468768,-73.894009077,0
17,Grand Concourse & 196th St At Nw Corner,40.8680811693,-73.8932286464,0
18,Grand Concourse & 196th St At Se Corner,40.8677623994,-73.8928133696,0
19,White Plains Rd & Pelham Pkwy At Se Corner,40.856427987,-73.8675415332,0
20,700 Pelham Parkway South,40.8564333186,-73.8674041549,0
21,White Plains Rd & Pelham Pkwy At Sw Corner,40.8564666989,-73.867790887,0
22,White Plains Rd & Pelham Pkwy At Nw Corner,40.8580585737,-73.8677443422,0
23,White Plains Rd & Pelham Pkwy At Ne Corner,40.8580665175,-73.8674912745,0
24,White Plains Rd & Allerton Ave At Se Corner,40.865358882,-73.8672236641,0
25,White Plains Rd & Allerton Ave At Nw Corner,40.8655568739,-73.8675486579,0
26,White Plains & Burke Ave At Se Corner,40.8713805449,-73.8670453155,0
27,White Plains Rd & Burke Ave At Nw Corner,40.87157573,-73.8673161074,0
28,Grand Concourse & Bedofrd Park Blvd At Ne Corner,40.8721543298,-73.8874838442,0
29,Grand Concourse & Bedford Park Blvd At Se Corner,40.8722177781,-73.8878127742,0
30,Grand Concourse & Bedford Park Blvd At Nw Corner,40.8725060795,-73.8879243779,0
31,Jerome Ave & Bedford Park Blvd At Sw Corner,40.8735481039,-73.8897775617,0
32,Grand Concourse & 203rd St At Ne Corner,40.8740170436,-73.8865297122,0
33,Grand Concourse & 203rd St At Nw Corner,40.8740339234,-73.8869491271,0
34,Perry Ave & 205th St At Se Corner,40.8740928942,-73.87749707,0
35,Perry Ave & 205th St At Nw Corner,40.8742603778,-73.8775510001,0
36,Bainbridge Ave & 205th St At Se Corner,40.8749155257,-73.8793649968,0
37,Bainbridge Ave & 205th St At Ne Corner,40.875074729,-73.8793755558,0
38,White Plains Rd & 211th St At Sw Corner,40.8777883569,-73.8661357093,0
39,White Plains Rd & 211th St At Sw Corner,40.8778957768,-73.8664609425,0
40,Jerome Ave & Mosholu Pkwy At Se Corner,40.8792278591,-73.8851575204,0
41,Jerome Ave & Mosholu Pkwy At Sw Corner,40.8793652876,-73.885352557,0
42,Jerome Ave & Mosholu Pkwy At Se Corner,40.8793731547,-73.8849836925,0
43,Jerome Ave & Mosholu Pkwy At Sw Corner,40.8795105907,-73.8851859616,0
44,Jerome Ave & Mosholu Pkwy At Ne Corner,40.8800585237,-73.8841797056,0
45,Jerome Ave & Mosholu Pkwy At Ne Corner,40.880179141,-73.8840312301,0
46,Jerome Ave & Mosholu Pkwy At Nw Corner,40.8801959755,-73.8843964399,0
47,Jerome Ave & Mosholu Pkwy At Nw Corner,40.8803193415,-73.884251576,0
48,Jerome Ave & Bainbridge Ave At Se Corner,40.8867548452,-73.8781464226,0
49,Jerome Ave & Bainbridge Ave At Sw Corner,40.8868374565,-73.8784030492,0
50,Grand Concourse & Echo Pl At Sw Corner,40.8499772326,-73.9059774346,0
51,Grand Concourse & Echo Pl At Nw Corner,40.8500814576,-73.9058869225,0
52,Grand Concourse & Echo Pl At Ne Corner,40.8499602263,-73.9053196042,0
