entrance_id,stop_id,distance
1,101,24.1
2,101,79.1
3,D05_N,22.1
3,D05_S,22.1
4,101,50.1
5,D05_N,15.1
5,D05_S,15.1
6,101,100.1
7,406_S,39.1
7,406_N,39.1
8,D05_N,13.1
8,D05_S,13.1
9,D05_N,6.1
9,D05_S,6.1
10,406_S,19.1
10,406_N,19.1
11,406_S,5.1
11,406_N,5.1
12,D05_N,110.1
12,D05_S,110.1
13,D05_N,224.1
13,D05_S,224.1
14,D04_S,185.1
14,D04_N,185.1
15,D04_S,171.1
15,D04_N,171.1
16,D04_S,128.1
16,D04_N,128.1
17,D04_S,101.1
17,D04_N,101.1
18,D04_S,76.1
18,D04_N,76.1
19,504_S,58.1
19,504_N,58.1
20,504_S,60.1
20,504_N,60.1
21,504_S,56.1
21,504_N,56.1
22,504_S,77.1
22,504_N,77.1
23,504_S,77.1
23,504_N,77.1
24,210_S,1.1
24,210_N,1.1
25,210_S,16.1
25,210_N,16.1
26,209_S,1.1
26,209_N,1.1
27,209_S,13.1
27,209_N,13.1
28,D03_S,55.1
28,D03_N,55.1
29,D03_S,75.1
29,D03_N,75.1
30,D03_S,61.1
30,D03_N,61.1
31,405_N,36.1
31,405_S,36.1
32,D03_S,184.1
32,D03_N,184.1
33,D03_S,148.1
33,D03_N,148.1
34,D01,278.1
35,D01,244.1
36,D01,15.1
37,D01,26.1
38,208_N,3.1
38,208_S,3.1
39,208_N,28.1
39,208_S,28.1
40,402_N,41.1
40,402_S,41.1
41,402_N,58.1
41,402_S,58.1
42,402_N,17.1
42,402_S,17.1
43,402_N,32.1
43,402_S,32.1
44,402_N,41.1
44,402_S,41.1
45,402_N,69.1
45,402_S,69.1
46,402_N,41.1
46,402_S,41.1
47,402_N,66.1
47,402_S,66.1
48,401,57.1
49,401,53.1
50,D07_S,103.1
50,D07_N,103.1
51,D07_S,77.1
51,D07_N,77.1
52,D07_S,46.1
52,D07_N,46.1
53,104_S,0.1
53,104_N,0.1
54,D07_S,28.1
54,D07_N,28.1
55,104_S,3.1
55,104_N,3.1
56,104_S,28.1
56,104_N,28.1
57,104_S,37.1
57,104_N,37.1
58,D07_S,97.1
58,D07_N,97.1
59,408_S,12.1
59,408_N,12.1
60,408_S,4.1
60,408_N,4.1
61,408_S,0.1
61,408_N,0.1
62,407_S,24.1
62,407_N,24.1
63,407_S,4.1
63,407_N,4.1
