stop_id,stop_name,stop_lat,stop_lon
101,242ND ST,40.8893265025,-73.8985524238
103_N,238TH ST,40.884595617,-73.9010215209
103_S,238TH ST,40.884595617,-73.9010215209
104_N,231ST ST,40.8787276765,-73.9050416727
104_S,231ST ST,40.8787276765,-73.9050416727
106_N,225TH ST,40.8747117474,-73.9097127743
106_S,225TH ST,40.8747117474,-73.9097127743
107_N,215TH ST,40.8695908314,-73.9153189912
107_S,215TH ST,40.8695908314,-73.9153189912
108_N,207TH ST,40.8649239131,-73.9187440409
108_S,207TH ST,40.8649239131,-73.9187440409
109_N,DYCKMAN ST,40.8610809301,-73.9250293026
109_S,DYCKMAN ST,40.8610809301,-73.9250293026
110_N,191ST ST,40.8554420196,-73.9290484079
110_S,191ST ST,40.8554420196,-73.9290484079
111_N,181ST ST,40.8497631502,-73.9334265082
111_S,181ST ST,40.8497631502,-73.9334265082
112_N,168TH ST,40.8406422316,-73.9400597977
112_S,168TH ST,40.8406422316,-73.9400597977
113_N,157TH ST,40.834068351,-73.9448549597
113_S,157TH ST,40.834068351,-73.9448549597
114_N,145TH ST,40.8265514719,-73.9503960927
114_S,145TH ST,40.8265514719,-73.9503960927
115_N,137TH ST,40.8214095774,-73.954143276
115_S,137TH ST,40.8214095774,-73.954143276
116_N,125TH ST,40.8155956389,-73.9583934559
116_S,125TH ST,40.8155956389,-73.9583934559
117_N,116TH ST,40.8078957942,-73.9640275847
117_S,116TH ST,40.8078957942,-73.9640275847
118_N,CATHEDRAL PKY,40.8040818378,-73.9668566753
118_S,CATHEDRAL PKY,40.8040818378,-73.9668566753
119_N,103RD ST,40.7994708797,-73.9684267944
119_S,103RD ST,40.7994708797,-73.9684267944
120_N,96TH ST,40.7939489717,-73.9723618959
120_S,96TH ST,40.7939489717,-73.9723618959
121_N,86TH ST,40.7885930372,-73.9763260121
121_S,86TH ST,40.7885930372,-73.9763260121
122_N,79TH ST,40.7838121426,-73.9802241781
122_S,79TH ST,40.7838121426,-73.9802241781
123_N,72ND ST,40.7786631978,-73.9821022539
123_S,72ND ST,40.7786631978,-73.9821022539
124_N,66TH ST/ LINCON CENTER,40.7734282859,-73.9824612561
124_S,66TH ST/ LINCON CENTER,40.7734282859,-73.9824612561
125_N,59TH ST,40.7681433822,-73.9820962756
125_S,59TH ST,40.7681433822,-73.9820962756
126_N,50TH ST,40.7617804822,-73.9839553909
126_S,50TH ST,40.7617804822,-73.9839553909
127_N,TIMES SQ,40.7554155806,-73.98759854
127_S,TIMES SQ,40.7554155806,-73.98759854
128_N,34TH ST,40.7505256725,-73.9912566356
128_S,34TH ST,40.7505256725,-73.9912566356
129_N,28TH ST,40.7471967638,-73.9937017097
129_S,28TH ST,40.7471967638,-73.9937017097
130_N,23RD ST,40.7442817567,-73.995833746
130_S,23RD ST,40.7442817567,-73.995833746
131_N,18TH ST,40.741272859,-73.998053824
131_S,18TH ST,40.741272859,-73.998053824
132_N,14TH ST,40.7384799208,-74.0001288344
132_S,14TH ST,40.7384799208,-74.0001288344
133_N,CHRISTOPHER ST,40.734063014,-74.0027199896
