from_stop_id,to_stop_id,transfer_type,min_transfer_time
D25_S,D25_N,0,
D25_N,D25_S,0,
621_S,621_N,0,
621_N,621_S,0,
F11_N,F11_S,0,
F11_S,F11_N,0,
205_N,205_S,0,
205_S,205_N,0,
D27_N,D27_S,0,
D27_S,D27_N,0,
D21_N,D21_S,0,
D21_S,D21_N,0,
M08_N,M08_S,0,
M08_S,M08_N,0,
207_N,207_S,0,
207_S,207_N,0,
A60_N,A60_S,0,
A60_S,A60_N,0,
248_N,248_S,0,
248_S,248_N,0,
629_N,R11_N,0,
R11_N,629_N,0,
629_N,B08_S,0,300
B08_S,629_N,0,300
629_N,629_S,0,
629_S,629_N,0,
629_N,R11_S,0,
R11_S,629_N,0,
627_S,627_N,0,
627_N,627_S,0,
D29_N,D29_S,0,
D29_S,D29_N,0,
117_N,117_S,0,
117_S,117_N,0,
M06_N,M06_S,0,
M06_S,M06_N,0,
629_S,R11_S,0,
R11_S,629_S,0,
H07_N,H07_S,0,
H07_S,H07_N,0,
B06_N,B06_S,0,
B06_S,B06_N,0,
625_S,625_N,0,
625_N,625_S,0,
F15_N,F15_S,0,
F15_S,F15_N,0,
F15_N,M18_N,0,
M18_N,F15_N,0,
F15_N,M18_S,0,
M18_S,F15_N,0,
229_N,M22_N,0,
M22_N,229_N,0,
229_N,A38_N,0,
A38_N,229_N,0,
229_N,418_N,0,
418_N,229_N,0,
229_N,229_S,0,
229_S,229_N,0,
229_N,M22_S,0,
M22_S,229_N,0,
229_N,A38_S,0,
A38_S,229_N,0,
229_N,418_S,0,
418_S,229_N,0,
M04_N,M04_S,0,
M04_S,M04_N,0,
H03_N,H03_S,0,
H03_S,H03_N,0,
229_S,M22_S,0,
M22_S,229_S,0,
229_S,A38_S,0,
A38_S,229_S,0,
229_S,418_S,0,
418_S,229_S,0,
F15_S,M18_N,0,
M18_N,F15_S,0,
F15_S,M18_S,0,
M18_S,F15_S,0,
J20_N,J20_S,0,
J20_S,J20_N,0,
R13_N,R13_S,0,
R13_S,R13_N,0,
R11_N,B08_S,0,
B08_S,R11_N,0,
R11_N,629_S,0,
629_S,R11_N,0,
R11_N,R11_S,0,
R11_S,R11_N,0,
607_N,607_S,0,
607_S,607_N,0,
R17_N,R17_S,0,
R17_S,R17_N,0,
719_S,G22_S,0,
G22_S,719_S,0,
719_S,F09_S,0,
F09_S,719_S,0,
G34_N,G34_S,0,
G34_S,G34_N,0,
132_S,L02_S,0,200
L02_S,132_S,0,200
132_S,D19_S,0,200
D19_S,132_S,0,200
132_N,L02_N,0,200
L02_N,132_N,0,200
132_N,D19_N,0,200
D19_N,132_N,0,200
132_N,132_S,0,
132_S,132_N,0,
132_N,L02_S,0,200
L02_S,132_N,0,200
132_N,D19_S,0,200
D19_S,132_N,0,200
209_N,209_S,0,
209_S,209_N,0,
G36_N,G36_S,0,
G36_S,G36_N,0,
409_N,409_S,0,
409_S,409_N,0,
B22_N,B22_S,0,
B22_S,B22_N,0,
R15_N,R15_S,0,
R15_S,R15_N,0,
719_N,G22_N,0,
G22_N,719_N,0,
719_N,F09_N,0,
F09_N,719_N,0,
719_N,719_S,0,
719_S,719_N,0,
719_N,G22_S,0,
G22_S,719_N,0,
719_N,F09_S,0,
F09_S,719_N,0,
R33_N,R33_S,0,200
R33_S,R33_N,0,200
222_N,222_S,0,
222_S,222_N,0,
222_N,415_N,0,
415_N,222_N,0,
222_N,415_S,0,
415_S,222_N,0,
F16_N,F16_S,0,
F16_S,F16_N,0,
A64_N,A64_S,0,
A64_S,A64_N,0,
222_S,415_N,0,
415_N,222_S,0,
222_S,415_S,0,
415_S,222_S,0,
110_N,110_S,0,
110_S,110_N,0,
902,R16_N,0,
R16_N,902,0,
902,127_S,0,
127_S,902,0,
902,R16_S,0,
R16_S,902,0,
N08_N,N08_S,0,
N08_S,N08_N,0,
405_N,405_S,0,
405_S,405_N,0,
F14_N,F14_S,0,
F14_S,F14_N,0,
603_N,603_S,0,
603_S,603_N,0,
M19_N,M19_S,0,
M19_S,M19_N,0,
J28_N,J28_S,0,
J28_S,J28_N,0,
A36_N,228_S,0,
228_S,A36_N,0,
A36_N,E01_S,0,
E01_S,A36_N,0,
A36_N,A36_S,0,
A36_S,A36_N,0,
A36_N,A36_S,0,
A36_S,A36_N,0,
A34_N,A34_S,0,
A34_S,A34_N,0,
H08_N,H08_S,0,
H08_S,H08_N,0,
713_N,713_S,0,
713_S,713_N,0,
A32_N,A32_S,0,
A32_S,A32_N,0,
A32_N,D20_N,0,
D20_N,A32_N,0,
A32_N,D20_S,0,
D20_S,A32_N,0,
112_N,112_S,0,
112_S,112_N,0,
112_N,A09_N,0,
A09_N,112_N,0,
112_N,A09_S,0,
A09_S,112_N,0,
711_N,711_S,0,
711_S,711_N,0,
F23_S,R33_N,0,100
R33_N,F23_S,0,100
F23_S,R33_S,0,100
R33_S,F23_S,0,100
E01_S,A36_S,0,
A36_S,E01_S,0,
F25_N,F25_S,0,
F25_S,F25_N,0,
724_N,724_S,0,
724_S,724_N,0,
L08_N,L08_S,0,
L08_S,L08_N,0,
A30_N,A30_S,0,
A30_S,A30_N,0,
F23_N,F23_S,0,
F23_S,F23_N,0,
F23_N,R33_N,0,100
R33_N,F23_N,0,100
F23_N,R33_S,0,100
R33_S,F23_N,0,100
E01_N,A36_N,0,
A36_N,E01_N,0,
E01_N,228_S,0,
228_S,E01_N,0,
